#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FAU	RPS7	1861888	1852173	9606.ENSP00000431822	9606.ENSP00000339095	0	0	0	0	0.965	0.999	0	0.176	0.999
RPL13A	RPL12	1857955	1854209	9606.ENSP00000375730	9606.ENSP00000354739	0.056	0	0	0	0.987	0.946	0.924	0.349	0.999
RPL35A	RPLP0	1859718	1852166	9606.ENSP00000393393	9606.ENSP00000339027	0	0	0	0	0.964	0.774	0.900	0.162	0.999
RPS6	RPS4Y1	1857216	1844020	9606.ENSP00000369757	9606.ENSP00000250784	0	0	0	0	0.950	0.975	0.900	0.470	0.999
RPL34	RPL38	1858216	1849232	9606.ENSP00000378160	9606.ENSP00000309830	0	0	0	0	0.962	0.774	0.900	0.571	0.999
RPS6	RPL14	1857216	1852902	9606.ENSP00000369757	9606.ENSP00000345156	0	0	0	0	0.971	0.884	0.900	0.413	0.999
ATP5O	ATP5B	1847220	1845043	9606.ENSP00000290299	9606.ENSP00000262030	0.309	0	0	0	0.959	0.988	0.941	0.616	0.999
RPS3	RPL19	1861952	1843024	9606.ENSP00000433821	9606.ENSP00000225430	0.309	0	0.352	0	0.966	0.989	0.900	0.451	0.999
RPL27A	RPL27	1853001	1844249	9606.ENSP00000346015	9606.ENSP00000253788	0.309	0	0	0	0.969	0.905	0.900	0.219	0.999
RPS10	RPS12	1853151	1843234	9606.ENSP00000347271	9606.ENSP00000230050	0	0	0	0	0.967	0.979	0.900	0.354	0.999
RPLP0	RPS27A	1852166	1846244	9606.ENSP00000339027	9606.ENSP00000272317	0	0	0	0	0.971	0.774	0.900	0.086	0.999
RPL18	RPL11	1862361	1856140	9606.ENSP00000447001	9606.ENSP00000363676	0	0	0	0	0.970	0.954	0.900	0.505	0.999
RPL7A	RPS26	1855599	1853363	9606.ENSP00000361076	9606.ENSP00000348849	0	0	0	0	0.926	0.926	0.900	0.407	0.999
RPL21	RPL10	1853004	1852496	9606.ENSP00000346027	9606.ENSP00000341730	0.065	0	0	0	0.952	0.859	0.900	0.429	0.999
RPL26	RPL6	1847444	1842405	9606.ENSP00000293842	9606.ENSP00000202773	0.090	0	0	0	0.971	0.861	0.900	0.613	0.999
RPL24	RPL27	1858158	1844249	9606.ENSP00000377640	9606.ENSP00000253788	0	0	0	0	0.968	0.884	0.900	0.506	0.999
RPL24	RPL12	1858158	1854209	9606.ENSP00000377640	9606.ENSP00000354739	0	0	0	0	0.969	0.884	0.900	0.432	0.999
RPS25	RPL13	1861989	1849017	9606.ENSP00000435096	9606.ENSP00000307889	0	0	0	0	0.972	0.774	0.900	0.240	0.999
RPS25	RPS2	1861989	1852518	9606.ENSP00000435096	9606.ENSP00000341885	0	0	0	0	0.965	0.997	0.900	0.309	0.999
RPS8	RPS10	1858412	1853151	9606.ENSP00000379888	9606.ENSP00000347271	0	0	0	0	0.967	0.959	0.900	0.549	0.999
RPLP0	RPL27	1852166	1844249	9606.ENSP00000339027	9606.ENSP00000253788	0	0	0	0	0.967	0.774	0.900	0.201	0.999
RPL7	RPS7	1852251	1852173	9606.ENSP00000339795	9606.ENSP00000339095	0	0	0	0	0.970	0.720	0.900	0.358	0.999
RPS8	RPL15	1858412	1849166	9606.ENSP00000379888	9606.ENSP00000309334	0	0	0	0	0.961	0.838	0.900	0.597	0.999
RPS15	RPL23A	1863987	1859401	9606.ENSP00000467676	9606.ENSP00000389103	0.309	0	0	0	0.969	0.901	0.924	0.353	0.999
RPS3	RPL10	1861952	1852496	9606.ENSP00000433821	9606.ENSP00000341730	0.309	0	0	0	0.958	0.922	0.924	0.340	0.999
RPS7	RPS23	1852173	1847772	9606.ENSP00000339095	9606.ENSP00000296674	0	0	0	0	0.964	0.988	0.900	0.257	0.999
RPL35A	RPL36	1859718	1844136	9606.ENSP00000393393	9606.ENSP00000252543	0	0	0	0	0.972	0.884	0.900	0.324	0.999
RPL32	RPL23	1858438	1858184	9606.ENSP00000380156	9606.ENSP00000377865	0.309	0	0	0	0.959	0.886	0.900	0.432	0.999
RPL36A	RPL19	1860470	1843024	9606.ENSP00000404375	9606.ENSP00000225430	0	0	0	0	0.952	0.685	0.900	0.812	0.999
RPSA	RPS23	1853012	1847772	9606.ENSP00000346067	9606.ENSP00000296674	0.073	0	0	0	0.961	0.973	0.924	0.320	0.999
RPL37A	RPL7A	1861343	1855599	9606.ENSP00000418082	9606.ENSP00000361076	0	0	0	0	0.971	0.852	0.900	0.437	0.999
RPS13	RPS21	1862013	1852991	9606.ENSP00000435777	9606.ENSP00000345957	0	0	0	0	0.970	0.997	0.900	0.321	0.999
RPL31	RPL14	1859193	1852902	9606.ENSP00000386717	9606.ENSP00000345156	0	0	0	0	0.960	0.884	0.900	0.397	0.999
RPL14	RPS27L	1852902	1851302	9606.ENSP00000345156	9606.ENSP00000331019	0	0	0	0	0.951	0.774	0.900	0.353	0.999
RPL24	RPL8	1858158	1845175	9606.ENSP00000377640	9606.ENSP00000262584	0	0	0	0	0.966	0.922	0.900	0.302	0.999
RPL35A	RPL11	1859718	1856140	9606.ENSP00000393393	9606.ENSP00000363676	0	0	0	0	0.974	0.884	0.900	0.713	0.999
RPSA	RPL27	1853012	1844249	9606.ENSP00000346067	9606.ENSP00000253788	0	0	0	0	0.965	0.774	0.900	0.117	0.999
RPS8	RPL7	1858412	1852251	9606.ENSP00000379888	9606.ENSP00000339795	0	0	0	0	0.956	0.838	0.900	0.400	0.999
RPS27L	RPS11	1851302	1846167	9606.ENSP00000331019	9606.ENSP00000270625	0	0	0	0	0.925	0.978	0.900	0.175	0.999
RPL3	RPS5	1852999	1842374	9606.ENSP00000346001	9606.ENSP00000196551	0.309	0	0	0	0.984	0.798	0.924	0.498	0.999
RPS4X	RPS15A	1855955	1850066	9606.ENSP00000362744	9606.ENSP00000318646	0.309	0	0	0	0.958	0.963	0.900	0.357	0.999
RPL37A	RPL30	1861343	1847048	9606.ENSP00000418082	9606.ENSP00000287038	0	0	0	0	0.970	0.875	0.900	0.517	0.999
RPL36A	RPL15	1860470	1849166	9606.ENSP00000404375	9606.ENSP00000309334	0.051	0	0	0	0.958	0.676	0.900	0.437	0.999
RPS29	RPL8	1858354	1845175	9606.ENSP00000379339	9606.ENSP00000262584	0.309	0	0	0	0.965	0.774	0.924	0.317	0.999
RPL12	RPL13	1854209	1849017	9606.ENSP00000354739	9606.ENSP00000307889	0	0	0	0	0.968	0.884	0.900	0.245	0.999
RPS27	RPS10	1854822	1853151	9606.ENSP00000357555	9606.ENSP00000347271	0	0	0	0	0.976	0.815	0.900	0.341	0.999
RPL7A	RPL19	1855599	1843024	9606.ENSP00000361076	9606.ENSP00000225430	0	0	0	0	0.971	0.922	0.900	0.780	0.999
RPS3	RPL12	1861952	1854209	9606.ENSP00000433821	9606.ENSP00000354739	0.309	0	0	0	0.986	0.905	0.924	0.472	0.999
RPS28	RPS5	1864786	1842374	9606.ENSP00000472469	9606.ENSP00000196551	0	0	0	0	0.954	0.996	0.900	0.423	0.999
RPL32	RPS11	1858438	1846167	9606.ENSP00000380156	9606.ENSP00000270625	0.309	0	0	0	0.969	0.774	0.900	0.242	0.999
RPL23A	RPS12	1859401	1843234	9606.ENSP00000389103	9606.ENSP00000230050	0.089	0	0	0	0.966	0.922	0.900	0.270	0.999
RPL27A	RPL38	1853001	1849232	9606.ENSP00000346015	9606.ENSP00000309830	0	0	0	0	0.969	0.890	0.900	0.184	0.999
RPS7	RPS16	1852173	1844060	9606.ENSP00000339095	9606.ENSP00000251453	0	0	0	0	0.964	0.997	0.900	0.277	0.999
RPS8	RPS15A	1858412	1850066	9606.ENSP00000379888	9606.ENSP00000318646	0	0	0	0	0.961	0.989	0.900	0.432	0.999
RPS7	RPS5	1852173	1842374	9606.ENSP00000339095	9606.ENSP00000196551	0	0	0	0	0.970	0.998	0.900	0.430	0.999
RPS15	RPLP1	1863987	1853006	9606.ENSP00000467676	9606.ENSP00000346037	0	0	0	0	0.962	0.774	0.900	0.194	0.999
RPS18	RPL31	1859702	1859193	9606.ENSP00000393241	9606.ENSP00000386717	0	0	0	0	0.956	0.781	0.900	0.282	0.999
RPSA	RPS14	1853012	1849373	9606.ENSP00000346067	9606.ENSP00000311028	0.309	0	0	0	0.957	0.976	0.924	0.299	0.999
RPL23	RPL27	1858184	1844249	9606.ENSP00000377865	9606.ENSP00000253788	0.088	0	0	0	0.969	0.776	0.900	0.364	0.999
RPS3	RPL32	1861952	1858438	9606.ENSP00000433821	9606.ENSP00000380156	0.309	0	0	0	0.972	0.774	0.900	0.416	0.999
RPL21	RPL13	1853004	1849017	9606.ENSP00000346027	9606.ENSP00000307889	0	0	0	0	0.957	0.884	0.900	0.475	0.999
RPS3A	RPL30	1853009	1847048	9606.ENSP00000346050	9606.ENSP00000287038	0	0	0	0	0.973	0.905	0.900	0.378	0.999
RPSA	RPS3A	1853012	1853009	9606.ENSP00000346067	9606.ENSP00000346050	0.091	0	0	0	0.963	0.995	0.900	0.410	0.999
RPS20	RPS18	1861789	1859702	9606.ENSP00000429374	9606.ENSP00000393241	0.309	0	0	0	0.958	0.987	0.924	0.552	0.999
RPS20	RPL23A	1861789	1859401	9606.ENSP00000429374	9606.ENSP00000389103	0.309	0	0	0	0.982	0.774	0.924	0.373	0.999
RPSA	RPS9	1853012	1848467	9606.ENSP00000346067	9606.ENSP00000302896	0.309	0	0	0	0.952	0.997	0.924	0.318	0.999
RPL23	RPS5	1858184	1842374	9606.ENSP00000377865	9606.ENSP00000196551	0.309	0	0	0	0.954	0.774	0.924	0.402	0.999
RPS26	RPLP1	1853363	1853006	9606.ENSP00000348849	9606.ENSP00000346037	0	0	0	0	0.952	0.774	0.900	0.220	0.999
RPS8	RPL4	1858412	1849420	9606.ENSP00000379888	9606.ENSP00000311430	0	0	0.203	0	0.964	0.838	0.900	0.614	0.999
RPS27	RPS9	1854822	1848467	9606.ENSP00000357555	9606.ENSP00000302896	0	0	0	0	0.952	0.995	0.900	0.418	0.999
RPS20	RPS4X	1861789	1855955	9606.ENSP00000429374	9606.ENSP00000362744	0	0	0	0	0.971	0.955	0.900	0.331	0.999
RPS21	RPL27	1852991	1844249	9606.ENSP00000345957	9606.ENSP00000253788	0	0	0	0	0.970	0.774	0.900	0.274	0.999
RPL24	RPS2	1858158	1852518	9606.ENSP00000377640	9606.ENSP00000341885	0	0	0	0	0.963	0.774	0.900	0.445	0.999
EIF3L	EIF3K	1861248	1843908	9606.ENSP00000416892	9606.ENSP00000248342	0	0	0	0	0.451	0.993	0.900	0.692	0.999
RPL11	RPL21	1856140	1853004	9606.ENSP00000363676	9606.ENSP00000346027	0	0	0	0	0.972	0.954	0.900	0.458	0.999
RPS13	RPS7	1862013	1852173	9606.ENSP00000435777	9606.ENSP00000339095	0	0	0	0	0.974	0.997	0.900	0.333	0.999
RPL13A	RPL8	1857955	1845175	9606.ENSP00000375730	9606.ENSP00000262584	0.309	0	0	0	0.979	0.946	0.924	0.401	0.999
RPL11	RPL4	1856140	1849420	9606.ENSP00000363676	9606.ENSP00000311430	0.309	0	0	0	0.977	0.962	0.924	0.788	0.999
RPL10A	RPS5	1856010	1842374	9606.ENSP00000363018	9606.ENSP00000196551	0.309	0	0	0	0.986	0.951	0.924	0.483	0.999
RPS17	RPS5	1853007	1842374	9606.ENSP00000346045	9606.ENSP00000196551	0	0	0	0	0.987	0.991	0	0.538	0.999
RPL17	RPS3	1863674	1861952	9606.ENSP00000462023	9606.ENSP00000433821	0.309	0	0	0	0.970	0.937	0.924	0.434	0.999
RPL18	RPL12	1862361	1854209	9606.ENSP00000447001	9606.ENSP00000354739	0	0	0	0	0.968	0.874	0.900	0.458	0.999
RPS4X	RPS23	1855955	1847772	9606.ENSP00000362744	9606.ENSP00000296674	0	0	0	0	0.961	0.962	0.900	0.118	0.999
RPS21	RPS16	1852991	1844060	9606.ENSP00000345957	9606.ENSP00000251453	0	0	0	0	0.971	0.997	0.900	0.371	0.999
RPL10	RPL6	1852496	1842405	9606.ENSP00000341730	9606.ENSP00000202773	0	0	0	0	0.949	0.889	0.900	0.365	0.999
RPL13	RPL36	1849017	1844136	9606.ENSP00000307889	9606.ENSP00000252543	0	0	0	0	0.970	0.884	0.900	0.245	0.999
RPL9	RPS11	1853003	1846167	9606.ENSP00000346022	9606.ENSP00000270625	0.309	0	0	0	0.966	0.886	0.924	0.487	0.999
RPS19	RPL17	1864285	1863674	9606.ENSP00000470004	9606.ENSP00000462023	0	0	0	0	0.961	0.860	0.900	0.331	0.999
RPL10	RPLP2	1852496	1850446	9606.ENSP00000341730	9606.ENSP00000322419	0	0	0	0	0.952	0.889	0.900	0.045	0.999
RPL35A	RPSA	1859718	1853012	9606.ENSP00000393393	9606.ENSP00000346067	0	0	0	0	0.958	0.774	0.900	0.198	0.999
ARPC4	ACTR2	1859328	1856793	9606.ENSP00000388169	9606.ENSP00000367220	0	0	0	0	0.099	0.990	0.900	0.909	0.999
RPL10A	RPL5	1856010	1855221	9606.ENSP00000363018	9606.ENSP00000359345	0.309	0	0	0	0.978	0.962	0.924	0.452	0.999
RPL37A	RPL19	1861343	1843024	9606.ENSP00000418082	9606.ENSP00000225430	0	0	0	0	0.973	0.886	0.900	0.438	0.999
UBA52	RPS5	1859324	1842374	9606.ENSP00000388107	9606.ENSP00000196551	0	0	0	0	0.966	0.705	0.900	0.158	0.999
RPL35A	RPL35	1859718	1844699	9606.ENSP00000393393	9606.ENSP00000259469	0	0	0	0	0.971	0.884	0.900	0.261	0.999
RPL32	RPS9	1858438	1848467	9606.ENSP00000380156	9606.ENSP00000302896	0.059	0	0.280	0	0.952	0.774	0.900	0.201	0.999
RPS19	RPS27A	1864285	1846244	9606.ENSP00000470004	9606.ENSP00000272317	0	0	0	0	0.972	0.972	0.900	0.286	0.999
RPS15A	RPL15	1850066	1849166	9606.ENSP00000318646	9606.ENSP00000309334	0	0	0	0	0.965	0.851	0.900	0.355	0.999
RPL31	RPL12	1859193	1854209	9606.ENSP00000386717	9606.ENSP00000354739	0.309	0	0	0	0.972	0.935	0.900	0.474	0.999
RPS19	RPS23	1864285	1847772	9606.ENSP00000470004	9606.ENSP00000296674	0	0	0	0	0.964	0.988	0.900	0.366	0.999
RPS20	RPS21	1861789	1852991	9606.ENSP00000429374	9606.ENSP00000345957	0	0	0	0	0.976	0.980	0.900	0.406	0.999
RPS27	RPS5	1854822	1842374	9606.ENSP00000357555	9606.ENSP00000196551	0	0	0	0	0.967	0.987	0.900	0.423	0.999
RPL38	RPL30	1849232	1847048	9606.ENSP00000309830	9606.ENSP00000287038	0	0	0	0	0.972	0.890	0.900	0.576	0.999
RPL34	RPL8	1858216	1845175	9606.ENSP00000378160	9606.ENSP00000262584	0.096	0	0	0	0.957	0.776	0.900	0.367	0.999
RPL10	RPL18A	1852496	1842894	9606.ENSP00000341730	9606.ENSP00000222247	0	0	0	0	0.955	0.925	0.900	0.310	0.999
RPSA	RPLP2	1853012	1850446	9606.ENSP00000346067	9606.ENSP00000322419	0	0	0	0	0.952	0.774	0.900	0.320	0.999
RPL12	RPL14	1854209	1852902	9606.ENSP00000354739	9606.ENSP00000345156	0	0	0	0	0.970	0.884	0.900	0.367	0.999
RPL4	RPL35	1849420	1844699	9606.ENSP00000311430	9606.ENSP00000259469	0.309	0	0	0	0.970	0.962	0.924	0.482	0.999
RPS6	RPL18A	1857216	1842894	9606.ENSP00000369757	9606.ENSP00000222247	0	0	0	0	0.962	0.884	0.900	0.349	0.999
RPL3	RPL14	1852999	1852902	9606.ENSP00000346001	9606.ENSP00000345156	0.065	0	0	0	0.969	0.851	0.900	0.457	0.999
RPS13	RPS12	1862013	1843234	9606.ENSP00000435777	9606.ENSP00000230050	0.309	0	0	0	0.967	0.998	0.900	0.287	0.999
RPL15	RPL26	1849166	1847444	9606.ENSP00000309334	9606.ENSP00000293842	0	0	0	0	0.964	0.943	0.900	0.575	0.999
RPS4X	RPS9	1855955	1848467	9606.ENSP00000362744	9606.ENSP00000302896	0.057	0	0	0	0.952	0.997	0.900	0.461	0.999
RPL11	RPS5	1856140	1842374	9606.ENSP00000363676	9606.ENSP00000196551	0.309	0	0	0	0.983	0.950	0.924	0.520	0.999
RPS26	RPS9	1853363	1848467	9606.ENSP00000348849	9606.ENSP00000302896	0	0	0	0	0.952	0.998	0.900	0.153	0.999
RPLP2	RPL18A	1850446	1842894	9606.ENSP00000322419	9606.ENSP00000222247	0.092	0	0	0	0.955	0.884	0.900	0.163	0.999
RPS13	RPS27	1862013	1854822	9606.ENSP00000435777	9606.ENSP00000357555	0	0	0	0	0.985	0.996	0.900	0.366	0.999
RPS10	RPS16	1853151	1844060	9606.ENSP00000347271	9606.ENSP00000251453	0	0	0	0	0.988	0.973	0.900	0.452	0.999
RPS27	RPLP1	1854822	1853006	9606.ENSP00000357555	9606.ENSP00000346037	0	0	0	0	0.990	0	0.900	0.302	0.999
RPS19	RPS4Y1	1864285	1844020	9606.ENSP00000470004	9606.ENSP00000250784	0	0	0	0	0.952	0.968	0.900	0.320	0.999
